Customer,Phone,Personnummer,BankAccount,Street,PostalCode,City
Anna Rosenberg,024656112,460430-5393,SE8902SILE68578227700598,Ekgatan 995,22276,Östersund
Anna Rosenberg,024656112,460430-5393,SE8902UTKP18439002370878,Ekgatan 995,22276,Östersund
Anna Rosenberg,024656112,460430-5393,SE8902HQID54921038055598,Ekgatan 995,22276,Östersund
Ida Haraldsson,050737603,050129-1702,SE8902CMWE25531271390672,Nygränd 66,29051,Östersund
Mary Persson,089217079,650907-0865,SE8902ZWKL91581622045409,Järnvägsstigen 4,45736,Östersund
Mary Persson,089217079,650907-0865,SE8902NHEC01255630352421,Järnvägsstigen 4,45736,Östersund
Stina Jansson,082932734,970320-1955,SE8902HRZI51889347255465,Björkgatan 6,17233,Mölndal
Stina Jansson,082932734,970320-1955,SE8902AVQC54172602808950,Björkgatan 6,17233,Mölndal
Mari Granath Åkesson,0876406043,390120-3251,SE8902YHDH55973704252760,Ringvägen 046,63456,Karlstad
Mari Granath Åkesson,0876406043,390120-3251,SE8902BABM26306156053804,Ringvägen 046,63456,Karlstad
Mari Granath Åkesson,0876406043,390120-3251,SE8902UNAU13611272599268,Ringvägen 046,63456,Karlstad
Karin Nilsson,097597092,870510-7632,SE8902ZJVA11817265425330,Stationsstigen 7,38873,Östersund
Kerstin Andersson,018687732,890713-4053,SE8902JFQL02168511886094,Kyrkgatan 214,41710,Landskrona
Kerstin Andersson,018687732,890713-4053,SE8902COVG23577172278709,Kyrkgatan 214,41710,Landskrona
Kerstin Andersson,018687732,890713-4053,SE8902HWHC81157429988113,Kyrkgatan 214,41710,Landskrona
Maria Eklund,062568813,410316-8359,SE8902IDYW61560887680926,Strandgatan 860,99872,Mölndal
Amanda Lundgren,0811565400,540225-7553,SE8902VBXW33852287376238,Parktorget 58,26034,Mölndal
Maria Berg,050765496,020819-5933,SE8902TTDD62882365317340,Skolvägen 78,53191,Landskrona
Joanna Åkerlund,064521510,000112-4718,SE8902JDLY63782567946635,Backstigen 81,88068,Karlskoga
Joanna Åkerlund,064521510,000112-4718,SE8902PKJC56529381306922,Backstigen 81,88068,Karlskoga
Margareta Eriksson,0919781565,860806-5499,SE8902PLTU47854504283727,Parkgatan 083,83788,Göteborg
Anna Andersson,08116741,551226-2535,SE8902QBPI92232356394837,Ringstigen 91,55006,Varberg
Anna Andersson,08116741,551226-2535,SE8902NPMZ64718534936104,Ringstigen 91,55006,Varberg
Laila Fransson Hedlund,067400026,960812-8352,SE8902ERJA13877835143324,Åkertorget 022,19742,Lidköping
Agnes Karlsson,031619436,491206-5150,SE8902OKVE09579666832306,Stationstorget 867,86539,Skövde
Elsa Svensson,08802481,920430-0215,SE8902BPMW61406251979814,Björkgränd 34,11776,Umeå
Elsa Svensson,08802481,920430-0215,SE8902YLGE04073464233597,Björkgränd 34,11776,Umeå
Kristina Åström,068486567,590612-4861,SE8902TCZL47145018856917,Ängsgränd 76,38179,Uddevalla
Gunnel Pettersson,040036909,680414-8994,SE8902ZNRZ32368916134263,Trädgårdsgatan 84,30993,Malmö
Gunnel Pettersson,040036909,680414-8994,SE8902WSHS28438837480311,Trädgårdsgatan 84,30993,Malmö
Agneta Ekman,0877949477,850328-3593,SE8902NDNE36671961231780,Trädgårdsvägen 630,98581,Karlskrona
Cecilia Ottosson Lindblom,0626190020,680912-5039,SE8902OLFT37200388827050,Fabrikstorget 009,16221,Trollhättan
Cecilia Ottosson Lindblom,0626190020,680912-5039,SE8902JQHT00463203687003,Fabrikstorget 009,16221,Trollhättan
Cecilia Ottosson Lindblom,0626190020,680912-5039,SE8902IIVG09252145366202,Fabrikstorget 009,16221,Trollhättan
Ester Ekelund,08834804,380518-3252,SE8902EYGF77551822415743,Åkergatan 231,83376,Norrköping
Sabina Johansson-Omar,0851255171,000615-6756,SE8902LVSQ11356198112962,Grangatan 745,55460,Piteå
Erika Wiberg Nilsson,0193966236,690811-8372,SE8902YVWX44120455116841,Stortorget 8,83044,Östersund
Erika Wiberg Nilsson,0193966236,690811-8372,SE8902DQWP79606697709694,Stortorget 8,83044,Östersund
Erika Wiberg Nilsson,0193966236,690811-8372,SE8902XXCG81260198384509,Stortorget 8,83044,Östersund
Edit Ahlström-Samuelsson,081900156,040605-9147,SE8902UTYY22254486734176,Skolvägen 425,75756,Växjö
Olga Carlsson,0852054161,970114-2821,SE8902UPQN50233742051449,Björkstigen 020,55468,Växjö
Madeleine Larsson Lundström,08444150,950821-8626,SE8902EWZR85142291879165,Trädgårdsstigen 574,45955,Malmö
Ellen Nilsson,041803983,000807-9626,SE8902KLMT84633622382072,Parkvägen 543,51729,Falun
Ellen Nilsson,041803983,000807-9626,SE8902DBWG37143242474670,Parkvägen 543,51729,Falun
Maj-Britt Hagberg-Bergström,0869652901,411210-1656,SE8902MTEW80340871788369,Kvarngatan 389,47183,Sandviken
Maj-Britt Hagberg-Bergström,0869652901,411210-1656,SE8902WSLA24954889786348,Kvarngatan 389,47183,Sandviken
Maj-Britt Hagberg-Bergström,0869652901,411210-1656,SE8902VJHZ33855900402507,Kvarngatan 389,47183,Sandviken
Eva Pettersson-Karlberg,0822241239,511005-5604,SE8902DZEM65843874009450,Skolgränd 627,58873,Falun
Louise Blomqvist,0749829886,030603-7102,SE8902GFAS09862022036004,Furuvägen 38,87020,Motala
Louise Blomqvist,0749829886,030603-7102,SE8902IWLJ80369151603079,Furuvägen 38,87020,Motala
Stina Larsson Andersson,068890255,980203-2699,SE8902AORR62231578413137,Bäckgränd 61,45259,Nyköping
Stina Larsson Andersson,068890255,980203-2699,SE8902UOQA63786044169527,Bäckgränd 61,45259,Nyköping
Kristina Ekman Gustafsson,097369010,661104-6993,SE8902TJBO76009734317061,Skogsvägen 668,13429,Skellefteå
Kristina Ekman Gustafsson,097369010,661104-6993,SE8902KIDF78947091109600,Skogsvägen 668,13429,Skellefteå
Kristina Brandt,0940483642,890522-1597,SE8902FUJI48043244293392,Industrigatan 1,34708,Falun
Kristina Brandt,0940483642,890522-1597,SE8902QPHE36884244476446,Industrigatan 1,34708,Falun
Joanna Torstensson-Svensson,089002332,761115-2401,SE8902RQLR53927445231063,Bäckgränd 425,11910,Karlskoga
Lilian Andersson,0838991423,930408-3224,SE8902VATX29635590400151,Åkervägen 4,44158,Landskrona
Karin Persson,0607748226,490201-7484,SE8902MMZN38846965231738,Furutorget 513,94184,Trelleborg
Eivor Svensson,0811844669,700606-8501,SE8902DAYC14364335693782,Kvarngränd 3,96302,Örebro
Eivor Svensson,0811844669,700606-8501,SE8902FALW17606613401607,Kvarngränd 3,96302,Örebro
Julia Karlsson,082881287,020207-5792,SE8902WZEL99650586037049,Grangatan 75,60901,Sundsvall
Victoria Ek,0613388238,430330-6577,SE8902DRZG97085120488113,Skolstigen 67,98473,Halmstad
Victoria Ek,0613388238,430330-6577,SE8902QJSX02120298481356,Skolstigen 67,98473,Halmstad
Victoria Ek,0613388238,430330-6577,SE8902IMEB42197421849807,Skolstigen 67,98473,Halmstad
Maria Eriksson,085859283,410918-5795,SE8902JXJJ56306612147768,Villavägen 913,50242,Motala
Maria Eriksson,085859283,410918-5795,SE8902AZMF62874749728667,Villavägen 913,50242,Motala
Eva Jonsson-Berg,0870413366,750529-8526,SE8902TRVE47135720140849,Åkervägen 73,17660,Halmstad
Anna Wahlström Lundin,024255432,630412-3000,SE8902KNBO14478747094323,Bäcktorget 44,72114,Örnsköldsvik
Anna Wahlström Lundin,024255432,630412-3000,SE8902PQTU50864263302777,Bäcktorget 44,72114,Örnsköldsvik
Tindra Jonsson,08457506,031129-0464,SE8902YUYG10929263320035,Nyvägen 75,11633,Linköping
Tindra Jonsson,08457506,031129-0464,SE8902LUTP25647153659821,Nyvägen 75,11633,Linköping
Sandra Sjöberg,0572408625,560511-1326,SE8902ZDMU73833226690524,Skolgatan 929,43096,Malmö
Sandra Sjöberg,0572408625,560511-1326,SE8902LFPB25372838213647,Skolgatan 929,43096,Malmö
Zahra Flink,018861359,801116-3071,SE8902MJPO40977388006286,Björkgatan 56,65143,Piteå
Helen Johansson,0827276713,980130-3422,SE8902PLXR29095818137187,Industrigränd 1,28362,Lund
Helen Johansson,0827276713,980130-3422,SE8902QIQI47434237190569,Industrigränd 1,28362,Lund
Alice Lundgren,082871926,980122-7878,SE8902CRWQ10550122839130,Ringvägen 76,26134,Landskrona
Birgitta Ståhl-Hultgren,0868310412,610329-4028,SE8902PVRO74801343887399,Fabriksvägen 6,72388,Sundsvall
Margareta Lund,08932407,540220-9521,SE8902KPIO16227949467449,Nygatan 6,62937,Landskrona
Tova Gustafsson Bengtsson,08947071,901208-9356,SE8902OZOM23207181936410,Nyvägen 622,39305,Kristianstad
Tova Gustafsson Bengtsson,08947071,901208-9356,SE8902NVPZ06971021222436,Nyvägen 622,39305,Kristianstad
Tova Gustafsson Bengtsson,08947071,901208-9356,SE8902KLVA35234334264887,Nyvägen 622,39305,Kristianstad
Ann Nilsson,0617777210,901104-3719,SE8902SNNM24012074185591,Idrottsvägen 8,63552,Sundsvall
Agnes Åberg,0840225592,841210-2173,SE8902DRXY50176432565193,Åkerstigen 22,50789,Skellefteå
Lilian Axelsson,0884011420,030417-5920,SE8902YMVD57211621327275,Storvägen 0,73994,Luleå
Lilian Axelsson,0884011420,030417-5920,SE8902WRRU80784544437204,Storvägen 0,73994,Luleå
Kristina Hansen,068557210,840921-6200,SE8902GAFL88123638280516,Aspstigen 13,51357,Sundsvall
Anna Dahlin Ågren,099738724,810113-7506,SE8902JPPD16064860435781,Furugränd 88,90312,Ängelholm
Ingrid Bäckström Persson,08806676,521117-6978,SE8902FSHA42297476809642,Järnvägsstigen 49,74337,Lidköping
Ingrid Bäckström Persson,08806676,521117-6978,SE8902LWGY12400441776877,Järnvägsstigen 49,74337,Lidköping
Ulla Hellman,0824496417,891106-8834,SE8902OYBW39299291170957,Ekstigen 60,15004,Malmö
Maria Axelsson,08781907,891101-6767,SE8902IJUF89235594362096,Nytorget 91,88709,Lidköping
Maria Axelsson,08781907,891101-6767,SE8902DPTT93032573974424,Nytorget 91,88709,Lidköping
Linnéa Eriksson-Byström,086241563,441112-0035,SE8902WJJF53894909945600,Skolstigen 45,97546,Borås
Birgitta Nilsson,010682013,640113-3456,SE8902NZPO70353430427963,Idrottsvägen 51,52369,Borås
Birgitta Nilsson,010682013,640113-3456,SE8902IMDH11855815032434,Idrottsvägen 51,52369,Borås
Birgitta Nilsson,010682013,640113-3456,SE8902UITH42469834496346,Idrottsvägen 51,52369,Borås
Louise Wall,0527575290,990215-7727,SE8902QPGW46075376024266,Parkgatan 961,17045,Karlstad
Carina Pettersson Nylander,031323562,680723-0690,SE8902LKXQ69920608322446,Trädgårdsvägen 31,88094,Alingsås
Maria Frank,043462904,430815-3222,SE8902PCFD04141042982858,Åkergränd 4,90224,Kristianstad
Astrid Backlund,018841112,981103-6731,SE8902FAAO97542766702624,Kyrkvägen 880,57118,Lund
Astrid Backlund,018841112,981103-6731,SE8902ONZU44479921442383,Kyrkvägen 880,57118,Lund
Sara Svensson,053139671,860309-0559,SE8902POYE56306553396402,Bäckvägen 7,36384,Linköping
Christina Olofsson,087918236,900316-6783,SE8902IEHG40560196591529,Fabriksvägen 0,32908,Örebro
Cristina Persson,081926375,620626-8408,SE8902BUFN52320844378385,Grantorget 4,47164,Skövde
Margareta Olsson,0270574929,671203-2561,SE8902VDAM04395711962652,Storgränd 355,35602,Lund
Gun Jansson,006488926,431218-4601,SE8902EJLS77341060789288,Ringgatan 9,57499,Sandviken
Gun Jansson,006488926,431218-4601,SE8902POUN96279557917869,Ringgatan 9,57499,Sandviken
Gun Jansson,006488926,431218-4601,SE8902VYBF24172056441453,Ringgatan 9,57499,Sandviken
Gun Jansson,006488926,431218-4601,SE8902KKUH06675943754803,Ringgatan 9,57499,Sandviken
Linnéa Ottosson,0661581123,951215-6036,SE8902DSLW17149818922650,Granstigen 1,94751,Borås
Linnéa Ottosson,0661581123,951215-6036,SE8902MQKC26955141529313,Granstigen 1,94751,Borås
Linnéa Ottosson,0661581123,951215-6036,SE8902XNEE54146257506129,Granstigen 1,94751,Borås
Ylva Nilsson,08268510,930323-2665,SE8902BXJC93392072105707,Stationstorget 1,10349,Trollhättan
Tindra Karlsson Åkesson,080958867,450531-4726,SE8902MZQD36471607948390,Parkstigen 76,10347,Skövde
Tindra Karlsson Åkesson,080958867,450531-4726,SE8902ZXBS27847759587560,Parkstigen 76,10347,Skövde
Tindra Karlsson Åkesson,080958867,450531-4726,SE8902CGGR69488718084568,Parkstigen 76,10347,Skövde
Tindra Karlsson Åkesson,080958867,450531-4726,SE8902LJOL22570334014589,Parkstigen 76,10347,Skövde
Gunilla Olofsson,0887093032,050501-4027,SE8902PGCD42349227810447,Kvarngränd 697,46408,Karlskoga
Anna Lindström Sandgren,016112215,521207-7944,SE8902NUWT16017828621340,Industrigatan 0,33881,Malmö
Tina Larsson,08450642,050608-5364,SE8902EPQO36893099676290,Genstigen 97,72115,Lidingö
Iris Nilsson,072765548,490129-6196,SE8902MERM08934535145689,Bäckgatan 1,75985,Varberg
Iris Nilsson,072765548,490129-6196,SE8902DCRG03419581347172,Bäckgatan 1,75985,Varberg
Ann-Marie Sandberg,084126354,750324-2856,SE8902JWPZ44810854846338,Fabriksstigen 316,76177,Karlstad
Caroline Nordström Andreasson,08528073,540522-6134,SE8902KEUK66106098793775,Ringstigen 6,20479,Trelleborg
Caroline Nordström Andreasson,08528073,540522-6134,SE8902WQDY35666811304216,Ringstigen 6,20479,Trelleborg
Caroline Nordström Andreasson,08528073,540522-6134,SE8902IFAT25470340151750,Ringstigen 6,20479,Trelleborg
Caroline Karlsson-Hellberg,0458207386,460425-7487,SE8902CKLN78195298715336,Nygatan 91,83897,Landskrona
Alexandra Olsson,0897647521,950407-8487,SE8902OBIX76276487885565,Bäckvägen 3,43869,Helsingborg
Ingrid Bergvall,024260358,910519-4634,SE8902VTXY24068790036789,Furugatan 8,48627,Karlstad
Anita Johansson,0998742480,960825-5072,SE8902EQDP30307774877765,Industristigen 03,40614,Göteborg
Anita Johansson,0998742480,960825-5072,SE8902YOEW30639718787528,Industristigen 03,40614,Göteborg
Anita Johansson,0998742480,960825-5072,SE8902CKBV64663475183727,Industristigen 03,40614,Göteborg
Charlotte Engström,0833806059,910827-2437,SE8902WRAH16184147348462,Bäckgatan 8,85966,Halmstad
Charlotte Engström,0833806059,910827-2437,SE8902BADP38378986803145,Bäckgatan 8,85966,Halmstad
Gunvor Magnusson Öberg,0814961854,841022-4763,SE8902MEJF62740560811988,Backgatan 8,81672,Karlskoga
Ulla Melin,045250815,760413-8730,SE8902KQTT53706765844553,Aspvägen 0,37416,Trollhättan
Ulla Melin,045250815,760413-8730,SE8902IGKY05275707479128,Aspvägen 0,37416,Trollhättan
Dagny Svensson,021254331,981014-7646,SE8902JXNJ08943900596647,Bäckstigen 252,74950,Borlänge
Ulrika Larsson,014143154,681010-5228,SE8902ZJLO95363862694613,Skolvägen 98,40809,Borlänge
Ulrika Larsson,014143154,681010-5228,SE8902VJEF22408425695352,Skolvägen 98,40809,Borlänge
Marie Lund,0887713048,711020-3960,SE8902QRLT89568280421783,Storgatan 42,91882,Landskrona
Marie Lund,0887713048,711020-3960,SE8902QLUT99208994499946,Storgatan 42,91882,Landskrona
Inger Lund,035562357,791118-2462,SE8902RCJB06422384154874,Skolvägen 6,71181,Alingsås
Zahra Svensson-Johansson,002660174,400328-6996,SE8902UYWH41914146129072,Grangränd 061,36553,Nyköping
Karin Larsson,080599939,510617-0615,SE8902EBWI20739935052200,Idrottsgränd 190,83179,Karlstad
Harriet Berg,087313688,640413-8023,SE8902UUHR56831431647978,Fabriksgränd 0,95963,Uppsala
Harriet Berg,087313688,640413-8023,SE8902EQYQ41081582080415,Fabriksgränd 0,95963,Uppsala
Ann Knutsson,073701325,710524-0449,SE8902SABF96781999798332,Idrottsvägen 2,46551,Stockholm
Gerd Lindqvist,076918717,031014-0330,SE8902MOYL96215082468431,Industristigen 50,55373,Södertälje
Gerd Lindqvist,076918717,031014-0330,SE8902KSPR66432840199154,Industristigen 50,55373,Södertälje
Sofia Vallin,010750383,480629-0807,SE8902JWGD74194436561021,Ängsgränd 82,10637,Uppsala
Madelene Lindgren-Carlberg,0423636702,530404-5650,SE8902OQZB62959452894569,Storvägen 702,43717,Mölndal
Charlotta Andersson,0836444403,880504-5534,SE8902NSZV23305609626569,Parkstigen 109,21904,Mölndal
Charlotta Andersson,0836444403,880504-5534,SE8902LDPN73303918695424,Parkstigen 109,21904,Mölndal
Cecilia Holmgren,0863706560,630813-9200,SE8902EQCK63728076800609,Backstigen 4,99766,Örnsköldsvik
Cecilia Holmgren,0863706560,630813-9200,SE8902WSOG82520529247442,Backstigen 4,99766,Örnsköldsvik
Cecilia Holmgren,0863706560,630813-9200,SE8902SRLL43477163490964,Backstigen 4,99766,Örnsköldsvik
Edith Isaksson,0646197799,770314-1197,SE8902XCHA19919213751955,Grantorget 74,25203,Örebro
Edith Isaksson,0646197799,770314-1197,SE8902KXMK45343849770312,Grantorget 74,25203,Örebro
Edith Isaksson,0646197799,770314-1197,SE8902MDRR93436036363613,Grantorget 74,25203,Örebro
Irene Hedman,083691586,570307-0606,SE8902SVNA09488395571575,Fabriksgatan 0,34491,Halmstad
Ann-Sofie Berggren,0899367674,990826-3057,SE8902SSZA54290319483676,Stationsgränd 6,29200,Linköping
Viola Thor Gustafsson,081717084,000722-4124,SE8902OEJT81666216962345,Ängstorget 480,62416,Östersund
Viola Thor Gustafsson,081717084,000722-4124,SE8902ZVTV98812993474647,Ängstorget 480,62416,Östersund
Viola Thor Gustafsson,081717084,000722-4124,SE8902NBPA53790596412090,Ängstorget 480,62416,Östersund
Alice Axelsson,0970641950,561012-3878,SE8902VROD28357188719403,Genvägen 5,63184,Eskilstuna
Britt Pettersson,0846090479,050719-3324,SE8902OARH91598307982968,Furustigen 42,85115,Karlstad
Katarina Bengtsson,083088597,460405-5261,SE8902RLHG01713064216795,Parkgatan 58,46109,Karlstad
Katarina Bengtsson,083088597,460405-5261,SE8902RMGJ56941789044857,Parkgatan 58,46109,Karlstad
Katarina Bengtsson,083088597,460405-5261,SE8902ZKUQ38316655030762,Parkgatan 58,46109,Karlstad
Erika Dahlberg-Nilsson,08560489,510326-2258,SE8902IAZC69283036911026,Skolgatan 05,70159,Örebro
Erika Dahlberg-Nilsson,08560489,510326-2258,SE8902FEOU83301563734443,Skolgatan 05,70159,Örebro
Olivia Malmström,058227195,651011-9842,SE8902YQXU56366715188424,Skoltorget 549,30393,Trelleborg
Olivia Malmström,058227195,651011-9842,SE8902EEKT76326536417923,Skoltorget 549,30393,Trelleborg
Olivia Malmström,058227195,651011-9842,SE8902KZIO19030755409685,Skoltorget 549,30393,Trelleborg
Eva Hansson,059683938,700610-4371,SE8902KLES25420753966546,Kyrkogatan 5,78023,Göteborg
Eva Hansson,059683938,700610-4371,SE8902HRWG83554443123395,Kyrkogatan 5,78023,Göteborg
Linnea Mattsson,0507150464,751014-2008,SE8902YSVI54424221824629,Furuvägen 8,29484,Lund
Barbro Granlund,08172874,980717-2268,SE8902MCFO49095808464569,Stationsgatan 24,16309,Varberg
Johanna Svensson,019858551,621205-8827,SE8902EJVD58777899114942,Bäcktorget 7,33841,Piteå
Johanna Svensson,019858551,621205-8827,SE8902CODF26383416794081,Bäcktorget 7,33841,Piteå
Johanna Svensson,019858551,621205-8827,SE8902VRCK66669606024532,Bäcktorget 7,33841,Piteå
Sigrid Holmgren,0912982601,991126-8184,SE8902MCEV93618355713025,Skolgränd 20,46476,Ängelholm
Sigrid Holmgren,0912982601,991126-8184,SE8902BTSC01483794930785,Skolgränd 20,46476,Ängelholm
Astrid Eriksson-Svensson,071373095,500128-9916,SE8902VXXB63484309612552,Backgatan 7,83837,Falun
Astrid Eriksson-Svensson,071373095,500128-9916,SE8902UFZY41218181108055,Backgatan 7,83837,Falun
Astrid Eriksson-Svensson,071373095,500128-9916,SE8902IDIO78110702344946,Backgatan 7,83837,Falun
Astrid Eriksson-Svensson,071373095,500128-9916,SE8902WMGQ92121042977797,Backgatan 7,83837,Falun
Malin Gustafsson,08204428,501213-8391,SE8902FVFT61557043346714,Villavägen 242,18096,Lidingö
Malin Gustafsson,08204428,501213-8391,SE8902RNLY55461931214075,Villavägen 242,18096,Lidingö
Elna Engberg,0153087892,420602-4558,SE8902CFVM08634732646774,Granstigen 1,57983,Karlskoga
Elna Engberg,0153087892,420602-4558,SE8902EJYN15169896233918,Granstigen 1,57983,Karlskoga
Elna Engberg,0153087892,420602-4558,SE8902SICI51731283266081,Granstigen 1,57983,Karlskoga
Irene Palm,0867222675,950329-4267,SE8902PUFG51102457949170,Järnvägsvägen 0,82652,Södertälje
Anita Andersson,086323610,701113-4041,SE8902REPT13055923984909,Nyvägen 46,92586,Landskrona
Anita Andersson,086323610,701113-4041,SE8902CFEY43701881421531,Nyvägen 46,92586,Landskrona
Ann-Charlotte Johnsson,080122420,020907-9359,SE8902KLRO16474013075873,Nyvägen 51,36077,Halmstad
Ingrid Widén-Eriksson,0785765465,930801-0736,SE8902AZOB63571733972059,Furugränd 194,39438,Luleå
Lisbeth Holmberg,066023503,891116-5697,SE8902YWYE88254254671994,Åkervägen 571,42440,Gävle
Lisbeth Holmberg,066023503,891116-5697,SE8902ZGKY70073543360198,Åkervägen 571,42440,Gävle
Lisbeth Holmberg,066023503,891116-5697,SE8902MQMR87651444736111,Åkervägen 571,42440,Gävle
Jeanette Andersson,049954999,680818-7006,SE8902REOE84824920257605,Kvarnvägen 39,21984,Varberg
Jeanette Andersson,049954999,680818-7006,SE8902GUBN02340962282734,Kvarnvägen 39,21984,Varberg
Moa Berglund,050784653,731219-6335,SE8902IGPY15346785802644,Skogsgatan 25,77323,Alingsås
Therese Carlsson,017420610,410517-2805,SE8902TDHG03930597785173,Skolgatan 312,39137,Luleå
Vilma Hedström,070337978,870926-1112,SE8902ZVUC22763571961124,Trädgårdsgatan 224,74343,Skövde
Vilma Hedström,070337978,870926-1112,SE8902IOJE14304978072957,Trädgårdsgatan 224,74343,Skövde
Åse Berg,091552714,361113-4648,SE8902BFKJ67373461094245,Kvarnvägen 59,47476,Skellefteå
Åse Berg,091552714,361113-4648,SE8902ZJJI38537368499499,Kvarnvägen 59,47476,Skellefteå
Sonja Sandberg,0877074563,840407-4828,SE8902UZPG07009538779616,Järnvägsvägen 33,96497,Piteå
Sonja Sandberg,0877074563,840407-4828,SE8902GWBV65006975861231,Järnvägsvägen 33,96497,Piteå
Angelica Jensen,0838575977,590323-8250,SE8902RFKG13034824351836,Storgränd 8,23240,Borås
Moa Karlsson Berglund,0854456173,390508-4368,SE8902XNTB41827621868449,Backgatan 483,15924,Stockholm
Moa Karlsson Berglund,0854456173,390508-4368,SE8902HHSO58247661775142,Backgatan 483,15924,Stockholm
Marie Pettersson-Pettersson,0917395293,590618-9138,SE8902JYDD80497877012989,Villastigen 5,82510,Trelleborg
Lina Fredriksson,0837973139,490730-0612,SE8902EBQG46394645816502,Villagatan 74,84144,Jönköping
Viola Gren,0834002865,920221-3337,SE8902NPSO51568640255218,Skolvägen 166,48930,Borås
Inga Jönsson,0883811497,961003-4705,SE8902FEUM16554377486070,Björkstigen 8,68132,Piteå
Ahmed Gustafsson,0224377207,990316-2809,SE8902VBBU70773188294633,Stationsgatan 18,33938,Skellefteå
Maria Jakobsson,069558281,511209-5483,SE8902VZIJ18435178550619,Skolvägen 339,40330,Gävle
Kajsa Olsson,082999624,040530-8834,SE8902RCMN64982980569854,Ängsgränd 9,83593,Piteå
Inger Ahlgren,040827227,070302-0982,SE8902RWQU01903466709841,Furuvägen 08,33799,Skövde
Katarina Ali,026766402,521030-3250,SE8902EJAI99151957237924,Trädgårdsstigen 8,75689,Borås
Lovisa Eriksson-Lindfors,0868957769,030803-2572,SE8902XYRM52103884724966,Skogsvägen 054,62496,Skellefteå
Sara Lindström-Jakobsson,0801988468,850331-3853,SE8902FUMK63947148705760,Skoltorget 998,78219,Lund
Sara Lindström-Jakobsson,0801988468,850331-3853,SE8902FGVS05404234689422,Skoltorget 998,78219,Lund
Leia Pettersson,060973711,740122-1705,SE8902OUYV90192199566077,Stationsgatan 79,61611,Borlänge
Leia Pettersson,060973711,740122-1705,SE8902SPLV55493875690484,Stationsgatan 79,61611,Borlänge
Leia Pettersson,060973711,740122-1705,SE8902LOKN91099936771965,Stationsgatan 79,61611,Borlänge
Christina Nyström,0822685738,850818-8110,SE8902EGUE04752445182497,Storvägen 127,38757,Karlskrona
Caroline Sjölander,008090434,941120-4879,SE8902QIDW01871973556269,Industritorget 68,59779,Skellefteå
Irma Johansson,0807611704,011120-7973,SE8902WDJE85359881297343,Villagatan 15,74856,Östersund
Inger Malmqvist,08553139,621117-4120,SE8902JLFC48207582147190,Åkervägen 70,22349,Malmö
Inger Malmqvist,08553139,621117-4120,SE8902DGOU52251724210139,Åkervägen 70,22349,Malmö
Ellinor Ahmad,043881254,600828-3746,SE8902KCJU30225323097413,Villavägen 0,30444,Linköping
Linn Hansson,066469556,570120-3019,SE8902UDAI89693707440786,Skolvägen 19,96151,Uddevalla
Linn Hansson,066469556,570120-3019,SE8902LXEY88372509516456,Skolvägen 19,96151,Uddevalla
Linn Hansson,066469556,570120-3019,SE8902XVJQ62588665096343,Skolvägen 19,96151,Uddevalla
Linn Hansson,066469556,570120-3019,SE8902PEJL40222448009128,Skolvägen 19,96151,Uddevalla
